iter	Logloss
0	0.6923971171
1	0.6917700264
2	0.6910780447
3	0.6904036304
4	0.6898007098
5	0.6890846529
6	0.6884244952
7	0.6878633568
8	0.6873095533
9	0.6868091435
10	0.6862369424
11	0.6857455331
12	0.6852674996
13	0.6847387845
14	0.6841633159
15	0.6836611614
16	0.6832233229
17	0.6827852477
18	0.682306692
19	0.6818675603
20	0.6814669971
21	0.6810578368
22	0.6807211848
23	0.6803167903
24	0.6798917626
25	0.6795147184
26	0.6791371498
27	0.6787677829
28	0.6783814334
29	0.67812074
30	0.6777602671
31	0.6774599902
32	0.6771849878
33	0.6769226187
34	0.6766515657
35	0.676414402
36	0.6761057669
37	0.6758815377
38	0.6756017454
39	0.6753098913
40	0.6751292447
41	0.6748678105
42	0.6746883325
43	0.6744410784
44	0.6741959519
45	0.6739598357
46	0.6736771833
47	0.6734295367
48	0.6731739426
49	0.6729463847
50	0.6727420893
51	0.6725728643
52	0.6723679603
53	0.6721194363
54	0.6719375585
55	0.6717183301
56	0.6715519255
57	0.6713936885
58	0.6712464551
59	0.6710443814
60	0.6709003986
61	0.6707649065
62	0.6706203202
63	0.6704030289
64	0.6702181755
65	0.6700621167
66	0.6699195894
67	0.6697008456
68	0.6695495137
69	0.669386441
70	0.6692003908
71	0.6690850561
72	0.6688954921
73	0.6687704994
74	0.6686142036
75	0.6684876222
76	0.6683256396
77	0.6682198023
78	0.6680799786
79	0.6679264278
80	0.6677721443
81	0.6676469994
82	0.6675442112
83	0.6674175216
84	0.6672310375
85	0.6671150979
86	0.6669817724
87	0.6668871822
88	0.6667491792
89	0.6666386694
90	0.6665201785
91	0.666401676
92	0.6662974461
93	0.6661842931
94	0.6660763124
95	0.6659769913
96	0.6658568251
97	0.6656763649
98	0.6655613321
99	0.6654499021
100	0.6653674376
101	0.6652062147
102	0.665078577
103	0.6649662658
104	0.6648686227
105	0.6647171949
106	0.664592039
107	0.6644630039
108	0.6643491089
109	0.6642758112
110	0.6641445636
111	0.6640687223
112	0.6639692967
113	0.6638520664
114	0.6637481094
115	0.6636358725
116	0.6635584976
117	0.6634578324
118	0.6633482267
119	0.6632737658
120	0.6631633708
121	0.6630305658
122	0.6629659438
123	0.6628475313
124	0.6627344934
125	0.6626530278
126	0.662593947
127	0.6625512351
128	0.6624402654
129	0.6623630457
130	0.6622581731
131	0.6621489239
132	0.6620806996
133	0.6619878962
134	0.6619161347
135	0.661830939
136	0.6617417681
137	0.6616827899
138	0.6616020259
139	0.6614978225
140	0.6614456902
141	0.6613748712
142	0.6612628806
143	0.6611518273
144	0.6610893273
145	0.6609845735
146	0.6608734112
147	0.660782225
148	0.6606930706
149	0.6606204541
150	0.6605178982
151	0.6604532685
152	0.6603479302
153	0.6602803021
154	0.6602231968
155	0.6601668898
156	0.6600897567
157	0.660010408
158	0.6599748967
159	0.6599124971
160	0.6597982539
161	0.6597078331
162	0.659616318
163	0.6595538492
164	0.6594802339
165	0.6594120698
166	0.6593060303
167	0.6591786095
168	0.6591199325
169	0.6590451937
170	0.6589863572
171	0.6589224466
172	0.6588154241
173	0.6587004227
174	0.6586404674
175	0.6585639836
176	0.658487553
177	0.6583987578
178	0.6583515433
179	0.6582539278
180	0.6581815409
181	0.6580751142
182	0.6580133986
183	0.6579257703
184	0.6578778537
185	0.6578246119
186	0.6577594812
