iter	Passed	Remaining
0	162	194870
1	173	103843
2	182	72764
3	191	57208
4	200	47841
5	209	41648
6	218	37312
7	228	34051
8	237	31384
9	244	29144
10	253	27439
11	261	25885
12	269	24622
13	278	23572
14	285	22576
15	292	21652
16	299	20868
17	307	20162
18	314	19530
19	321	18955
20	328	18457
21	335	17983
22	342	17538
23	349	17132
24	356	16748
25	363	16393
26	369	16062
27	376	15764
28	383	15481
29	390	15217
30	397	14977
31	404	14748
32	411	14534
33	417	14332
34	424	14129
35	431	13941
36	437	13749
37	444	13591
38	451	13448
39	458	13300
40	465	13166
41	473	13046
42	480	12916
43	486	12794
44	493	12675
45	501	12570
46	508	12462
47	515	12363
48	522	12270
49	529	12169
50	535	12068
51	541	11960
52	547	11855
53	554	11761
54	560	11670
55	566	11578
56	573	11491
57	580	11420
58	586	11338
59	592	11253
60	598	11172
61	604	11103
62	611	11044
63	618	10974
64	624	10912
65	631	10842
66	637	10781
67	643	10719
68	650	10663
69	657	10606
70	663	10548
71	669	10488
72	675	10428
73	681	10373
74	687	10319
75	694	10269
76	701	10226
77	708	10185
78	715	10158
79	722	10112
80	728	10064
81	734	10014
82	740	9968
83	747	9929
84	753	9883
85	759	9843
86	766	9801
87	771	9754
88	778	9718
89	784	9678
90	791	9644
91	797	9609
92	803	9570
93	809	9529
94	817	9506
95	823	9468
96	829	9432
97	836	9403
98	842	9370
99	848	9336
100	855	9306
101	861	9274
102	867	9239
103	873	9205
104	879	9174
105	885	9140
106	891	9110
107	898	9080
108	904	9051
109	910	9021
110	916	8994
111	923	8969
112	929	8943
113	936	8917
114	942	8894
115	948	8867
116	955	8841
117	961	8815
118	967	8787
119	973	8765
120	980	8742
121	987	8725
122	994	8711
123	1001	8691
124	1007	8667
125	1014	8643
126	1020	8623
127	1026	8599
128	1033	8578
129	1039	8556
130	1045	8533
131	1052	8516
132	1058	8491
133	1064	8468
134	1070	8445
135	1076	8423
136	1083	8410
137	1089	8388
138	1096	8367
139	1102	8349
140	1108	8329
141	1114	8305
142	1121	8288
143	1127	8267
144	1133	8245
145	1139	8224
146	1145	8203
147	1151	8187
148	1158	8173
149	1165	8155
150	1171	8138
151	1177	8119
152	1184	8103
153	1190	8083
154	1196	8066
155	1202	8046
156	1208	8028
157	1214	8010
158	1220	7992
159	1227	7978
160	1233	7963
161	1240	7948
162	1247	7936
163	1253	7921
164	1260	7905
165	1266	7890
166	1272	7874
167	1279	7857
168	1285	7845
169	1292	7831
170	1299	7819
171	1305	7802
172	1311	7785
173	1317	7770
174	1323	7753
175	1330	7739
176	1337	7730
177	1343	7716
178	1349	7699
179	1355	7683
180	1361	7667
181	1368	7655
182	1374	7640
183	1381	7625
184	1387	7610
185	1393	7595
186	1399	7580
187	1405	7565
